"post_id","Page.Likes.at.Posting","Likes","Comments","Shares","Love","Wow","Haha","Sad","Angry","Thankful","Post.Views","Total.Views","language","plurality","unigrams_total","gna_unigrams","lna_unigrams","bigrams_total","gna_bigrams","lna_bigrams","post_date","page_id"
8618,419022,467,24,2,0,0,7,6,0,0,0,0,"arabic","Libya",16,0,0,7,0,0,2019-04-10,1381
8619,608783,508,11,2,1,1,2,6,9,0,0,0,"arabic","Egypt",28,0,0,17,0,0,2019-04-10,380
8620,1282961,380,27,2,4,0,3,0,0,0,0,0,"arabic","Libya",21,0,0,16,0,0,2019-04-10,1101
8621,419022,748,65,2,5,0,8,12,0,0,0,0,"arabic","Libya",12,0,0,6,0,0,2019-04-10,1381
8622,141924,348,8,2,0,1,0,0,0,0,0,0,"arabic","Location hidden",13,0,0,6,0,0,2019-04-10,1084
8623,128332,826,64,2,1,4,4,11,2,0,0,0,"arabic","Canada",4,0,0,0,0,0,2019-04-10,1228
8624,NA,227,4,2,5,0,0,0,0,0,0,0,"arabic","Libya",1,0,0,1,0,0,2019-04-17,1271
8625,189211,158,15,2,5,0,1,0,0,0,0,0,"arabic","Libya",92,4,0,42,2,0,2019-04-17,892
8626,4046,46,3,2,1,0,3,0,0,0,0,0,"arabic","Libya",55,1,0,26,0,0,2019-04-17,830
8627,NA,252,19,2,6,2,0,0,0,0,0,0,"arabic","Libya",20,0,0,15,0,0,2019-04-17,809
8628,NA,102,3,2,0,0,0,0,0,0,0,0,"arabic","Libya",21,0,0,7,0,0,2019-04-17,1227
8629,NA,31,0,2,1,0,0,0,0,0,431,432,"arabic","Spain",23,0,0,12,0,1,2019-04-17,1273
8630,507401,240,13,2,0,6,1,0,4,0,0,0,"arabic","Location hidden",9,0,0,5,0,0,2019-04-17,39
